,tr,ts,ti,n,alpha,Ks,RMSETWT,RMSEVOL,RMSE,Converged
15309,0.03,0.38,0.09,7.0,0.06999999999999999,0.26,0.20940698768374957,0.24371156953456286,0.32132011392967935,0
15310,0.03,0.36,0.09,7.75,0.060000000000000005,0.36000000000000004,0.39324651124500826,0.17899522845130061,0.4320672521896374,0
15311,0.03,0.44000000000000006,0.09,3.0,0.09999999999999999,0.41000000000000003,0.4952107409727558,0.20567430203276918,0.5362234576102136,0
15312,0.03,0.4,0.09,9.25,0.09999999999999999,0.16000000000000003,0.9834144924615341,0.6518136236238599,1.179815690658945,0
15313,0.03,0.42000000000000004,0.09,9.5,0.08,0.16000000000000003,0.9070513587572074,0.5670169203310134,1.069696384664809,0
15314,0.03,0.42000000000000004,0.09,5.0,0.03,0.31000000000000005,0.21055769395775084,0.6791742933886704,0.7110641766288086,0
15316,0.03,0.44000000000000006,0.09,3.75,0.08,0.31000000000000005,0.5683075577830128,0.25376621984285735,0.6223911748784889,0
15317,0.03,0.4600000000000001,0.09,7.5,0.05,0.41000000000000003,0.8312359922507317,0.6114652795335151,1.0319123329469702,0
15318,0.03,0.36000000000000004,0.1,4.5,0.03999999999999998,0.22000000000000003,0.28057954590458917,0.11748230888095468,0.30418246905439095,0
15319,0.03,0.4600000000000001,0.09,8.0,0.03,0.21000000000000002,0.4991285492944756,0.3013148239936648,0.5830265275947064,0
15321,0.03,0.42000000000000004,0.09,3.0,0.06999999999999999,0.41000000000000003,0.3299536881171885,0.017726319649981965,0.3304295064162222,0
15322,0.03,0.44000000000000006,0.09,7.75,0.060000000000000005,0.26,0.07099842981904629,0.09356757001404577,0.11745495815461941,0
15323,0.03,0.38,0.09,3.0,0.08,0.26,0.7237463848627878,0.45283812259459794,0.8537395357349656,0
15326,0.03,0.44000000000000006,0.09,3.25,0.04,0.11,1.0334309386603755,0.5871170852067472,1.1885646708202846,0
15330,0.03,0.4600000000000001,0.09,2.0,0.05,0.11,1.0968817722117101,0.7558434937758831,1.332084460270307,0
15331,0.03,0.4,0.09,4.0,0.06999999999999999,0.11,1.1780409101106983,0.742446724963033,1.3924825044871394,0
15332,0.03,0.44000000000000006,0.09,7.25,0.08,0.41000000000000003,0.378972917202258,0.1265006742406272,0.39952833761339485,0
15334,0.03,0.42000000000000004,0.09,2.75,0.05,0.31000000000000005,0.4381109960719343,0.0933040174644158,0.4479362505470421,0
15335,0.03,0.36,0.09,2.5,0.09999999999999999,0.11,1.3488681677610328,0.8679563343567465,1.6039929963528539,0
15337,0.03,0.38,0.09,8.0,0.06999999999999999,0.16000000000000003,0.7941927273410515,0.5402276097319229,0.9605144238782073,0
15338,0.03,0.38,0.09,4.5,0.05,0.21000000000000002,0.536785490867742,0.2773504285947053,0.6042035447163393,0
15339,0.03,0.4600000000000001,0.09,7.5,0.02,0.21000000000000002,0.9166056137130415,0.8145644280994597,1.2262467364340919,0
15340,0.03,0.4600000000000001,0.09,6.5,0.03,0.41000000000000003,1.3804161591111224,1.3429243115802665,1.9258749904831405,0
15343,0.03,0.38,0.09,5.25,0.03,0.16000000000000003,0.40830173048643614,0.1205897958991557,0.4257372452501875,0
15344,0.03,0.38,0.09,2.0,0.060000000000000005,0.16000000000000003,1.1195284058551198,0.7002558819519715,1.3204931471707224,0
15346,0.03,0.4,0.09,6.75,0.06999999999999999,0.31000000000000005,0.3101644110891337,0.08432610751323318,0.321423170158286,0
15347,0.03,0.4,0.09,4.0,0.09999999999999999,0.41000000000000003,0.3562785628136547,0.15477649802753227,0.3884458503604203,0
15348,0.03,0.4,0.09,9.5,0.01,0.11,0.8446938392558712,0.8404253961238912,1.1915630610785242,0
15349,0.03,0.4,0.09,3.25,0.05,0.31000000000000005,0.32811675078338554,0.03355168438394733,0.32982770906891123,0
15350,0.03,0.36,0.09,7.5,0.08,0.31000000000000005,0.10033316161648101,0.18932375291195425,0.21426671868637368,0
15351,0.03,0.36,0.09,5.0,0.08,0.36000000000000004,0.2550329592906904,0.11533054564309209,0.2798980976764585,0
15352,0.03,0.4,0.09,6.5,0.03,0.26,0.16764640526860838,0.48418464387738114,0.5123866572873975,0
15354,0.03,0.36,0.09,6.0,0.08,0.41000000000000003,0.25008911274848894,0.0418596756039349,0.25356813040481463,0
15355,0.03,0.38,0.09,8.0,0.09,0.46,0.38469439056972343,0.13540938883007086,0.4078302057463917,0
15356,0.03,0.36,0.09,1.75,0.09999999999999999,0.1,0.8766249737468489,0.9286437294973068,1.2770475797445178,0
15358,0.03,0.44000000000000006,0.09,4.25,0.02,0.16000000000000003,0.24372614936413997,0.22078617751873242,0.3288601101793957,0
15359,0.03,0.44000000000000006,0.09,1.75,0.03,0.11,,,,1
15360,0.03,0.38,0.09,4.75,0.01,0.21000000000000002,1.5872224993707538,1.8833635046816284,2.4629927635450755,0
15361,0.03,0.36,0.09,6.25,0.05,0.16000000000000003,0.6511415498967217,0.42102295668803313,0.7754003147150756,0
15362,0.03,0.38000000000000006,0.1,3.5,0.023999999999999997,0.24000000000000002,0.11410558069534386,0.3642611942914955,0.381714947588496,0
15363,0.03,0.42000000000000004,0.09,6.0,0.04,0.16000000000000003,0.6096097737673322,0.2687707198059343,0.6662295220850378,0
15364,0.03,0.4,0.09,5.5,0.02,0.41000000000000003,1.0303233959790887,2.0952092822913895,2.334837946603978,0
15366,0.03,0.42000000000000004,0.09,5.5,0.060000000000000005,0.46,0.1330014867994878,0.457890456859862,0.47681554711880725,0
15371,0.03,0.36,0.09,6.5,0.06999999999999999,0.46,0.16634523877239216,0.30267865567297586,0.34537676103386583,0
15372,0.03,0.36000000000000004,0.1,4.5,0.03199999999999999,0.3600000000000001,0.4358490565313291,0.7084125099709442,0.8317527783918626,0
15373,0.03,0.4,0.09,4.0,0.05,0.31000000000000005,0.25164440197077537,0.04160032441780551,0.2550597812962597,0
15374,0.03,0.44000000000000006,0.09,2.75,0.01,0.31000000000000005,0.9891803652320771,2.3418618555400177,2.5422027349119896,0
15375,0.03,0.4,0.09,4.75,0.04,0.11,0.891704713882701,0.5419834268222601,1.0434957267332865,0
15376,0.03,0.36,0.09,5.5,0.04,0.46,0.5497714489259885,0.9212716251962103,1.0728420449655427,0
15377,0.03,0.34,0.1,3.5,0.027999999999999994,0.32000000000000006,0.5078133716907777,0.5385537153803694,0.7402124862618543,0
15378,0.03,0.4,0.09,4.0,0.04,0.26,0.2771815679337806,0.04430348660094371,0.28069987625082604,0
15379,0.03,0.38,0.09,9.75,0.060000000000000005,0.26,0.037232983985253494,0.11053988051076115,0.11664201764278384,0
15381,0.03,0.4600000000000001,0.09,7.75,0.04,0.21000000000000002,0.189096506344084,0.023071292226487697,0.19049874864822128,0
15382,0.03,0.36,0.09,7.0,0.01,0.16000000000000003,0.7376682703107201,1.4154088716633555,1.5961004827411533,0
15383,0.03,0.36,0.09,8.0,0.01,0.26,1.4541350657272583,2.922807805678186,3.264554220458124,0
15384,0.03,0.4,0.09,6.25,0.04,0.46,0.5312931941486218,1.0096832471993384,1.1409350191065422,0
15387,0.03,0.42000000000000004,0.09,7.0,0.03,0.36000000000000004,0.48033015722331707,1.0690287838306005,1.171981058121892,0
15388,0.03,0.4600000000000001,0.09,6.0,0.09,0.21000000000000002,0.4781753145012828,0.48325368617321485,0.6798424498355489,0
15390,0.03,0.36000000000000004,0.1,3.5,0.022,0.4,0.793669831963695,1.3523118006029524,1.5680111632954912,0
15391,0.03,0.36,0.09,5.25,0.08,0.16000000000000003,0.916106699078527,0.6276953814019451,1.1105192370823156,0
15392,0.03,0.38,0.09,8.25,0.060000000000000005,0.41000000000000003,0.5816264046749905,0.36281384615024453,0.6855094175673221,0
15393,0.03,0.44000000000000006,0.09,2.0,0.09,0.11,1.3190575081037785,0.8597771634993571,1.5745251603451593,0
15394,0.03,0.42000000000000004,0.09,8.25,0.05,0.26,0.26578511267195176,0.03554712670057408,0.26815168158098274,0
15397,0.03,0.44000000000000006,0.09,3.0,0.02,0.21000000000000002,0.16819064656647226,0.36434219278264574,0.4012895800218523,0
15399,0.03,0.4600000000000001,0.09,2.5,0.04,0.46,0.0926980020044903,0.504640666514303,0.5130839325837678,0
15400,0.03,0.36,0.09,1.75,0.06999999999999999,0.46,0.44907726376078383,0.2510326097674697,0.514478143358432,0
15401,0.03,0.38,0.09,8.0,0.02,0.26,0.5967693567004009,1.1486883285259175,1.2944568518062998,0
15403,0.03,0.4600000000000001,0.09,2.5,0.05,0.26,0.6638719877467313,0.2573380686146792,0.7120034393688905,0
15404,0.03,0.4,0.09,4.5,0.05,0.11,1.007913188350596,0.6332682429863352,1.1903435062308965,0
15405,0.03,0.4,0.09,8.0,0.09999999999999999,0.26,0.6079503668226062,0.40138144815748533,0.7284989467698231,0
15406,0.03,0.4,0.09,8.75,0.01,0.16000000000000003,0.7439768415617768,1.5556561179343802,1.7244035194950464,0
15409,0.03,0.44000000000000006,0.09,3.5,0.09999999999999999,0.11,1.1885022185447025,0.815295226002009,1.4412646630745327,0
15410,0.03,0.38,0.09,5.5,0.09,0.46,0.2218536028650904,0.07277722417304275,0.23348564294738672,0
15411,0.03,0.38,0.09,2.0,0.08,0.26,0.8883699470747476,0.5677629988604401,1.054303554836362,0
15413,0.03,0.36,0.09,7.0,0.01,0.1,0.208069318760931,0.5482643463467234,0.5864184810224161,0
15414,0.03,0.4600000000000001,0.09,9.25,0.02,0.16000000000000003,0.6202436817464538,0.44358393091574744,0.7625410995566488,0
15416,0.03,0.42000000000000004,0.09,3.75,0.03,0.11,0.8388102328307888,0.4422754742804535,0.9482669465143463,0
15418,0.03,0.34,0.1,5.0,0.029999999999999992,0.32000000000000006,0.6577680983230996,0.6376648673284422,0.9161197269989259,0
15419,0.03,0.44000000000000006,0.09,8.0,0.02,0.16000000000000003,0.12589987762745,0.40575639685859116,0.42484000844820796,0
15420,0.03,0.4600000000000001,0.09,2.75,0.04,0.41000000000000003,0.11819456508875106,0.4268526207896585,0.44291434283788894,0
